time,topic,Indicator,Rating_kW,Next_time,Duration_hr,Consumption_MJ
2020-06-12 13:38:47.282917,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:38:59.629500,0.003429606388888889,0.5938706423000001
2020-06-12 13:38:59.629500,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:39:24.451919,0.006895116388888889,1.0152369370999998
2020-06-12 13:39:24.451919,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:39:36.667312,0.003393164722222223,0.5875604033
2020-06-12 13:39:36.667312,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:39:49.201757,0.0034817902777777784,0.5126588005000001
2020-06-12 13:39:49.201757,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:40:01.348445,0.00337408,0.0
2020-06-12 13:40:01.348445,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:40:13.717169,0.003435756666666666,0.5058808116
2020-06-12 13:40:13.717169,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:40:26.075444,0.0034328541666666674,0.4164738675000001
2020-06-12 13:40:26.075444,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:40:38.469476,0.0034427866666666674,0.5961529392000001
2020-06-12 13:40:38.469476,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:41:03.066650,0.006832548333333334,0.0
2020-06-12 13:41:03.066650,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:41:15.420156,0.003431529444444445,0.3273679090000001
2020-06-12 13:41:15.420156,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:41:40.298675,0.0069106997222222214,1.1966567639
2020-06-12 13:41:40.298675,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:41:52.451383,0.0033757522222222225,0.4095462596000001
2020-06-12 13:41:52.451383,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:42:04.788336,0.0034269313888888892,0.0
2020-06-12 13:42:04.788336,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:42:17.159963,0.0034365630555555555,0.41692382990000004
2020-06-12 13:42:17.159963,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:42:29.656970,0.003471390833333333,0.3311706855
2020-06-12 13:42:29.656970,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:42:41.823865,0.003379693055555556,0.4100243615000001
2020-06-12 13:42:41.823865,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:42:54.317057,0.0034703311111111113,0.6009225352
2020-06-12 13:42:54.317057,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:43:06.511367,0.003387308333333334,0.0
2020-06-12 13:43:06.511367,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:43:19.037194,0.003479396388888889,0.5123063243000001
